episode,deltaT,maxRadius,avgRadius,numUnknownSlots,coverage,numSamples
1,25.0,2.0,1.4656037191794042,16,1.0,51
11,7.806509101381163,0.6102549050898202,0.4025235003543804,16,1.0,120
21,5.355432123280335,0.407989011463693,0.2776956331942573,16,1.0,135
31,4.202471497269809,0.33219528089575456,0.22553226912875493,16,1.0,144
41,3.627539084918469,0.28718950040789815,0.19458051915536967,16,1.0,151
51,3.268486446196935,0.26002543985366333,0.1737418156403128,16,1.0,155
61,2.968133974044417,0.2353221966419539,0.15792214496849974,16,1.0,159
71,2.7369921378702395,0.21680256601531397,0.14569681714147947,16,1.0,163
81,2.5412290680977248,0.20158985145924874,0.13612671336131388,16,1.0,165
91,2.3975119629831747,0.1906465320973106,0.1279742922496158,16,1.0,168
101,2.275293074528861,0.18133057777335684,0.12122386149079366,16,1.0,170
111,2.167728796946818,0.17252861726755273,0.11541448753608621,16,1.0,172
121,2.054485854445943,0.16352462529477785,0.11016537812279244,16,1.0,174
131,1.9639639856268771,0.15668147479230496,0.10564825871753213,16,1.0,176
141,1.882565452276513,0.15019238936640494,0.1015537284982074,16,1.0,177
151,1.8187707447399024,0.14490489455610855,0.09799361088999595,16,1.0,179
161,1.757480197874911,0.14001197856972616,0.09471779767659044,16,1.0,180
171,1.698804349061209,0.13537731385209154,0.09168510228820445,16,1.0,181
181,1.6430403569417793,0.13117436043447103,0.08898121902913611,16,1.0,182
191,1.6016881424731029,0.12786790743874119,0.08651880221327699,16,1.0,183
201,1.5607990296268643,0.12444271950797735,0.0842461766137046,16,1.0,184
211,1.5224210176470048,0.121323548149875,0.08213325124761392,16,1.0,185
221,1.4914349692638271,0.11897999208088932,0.08025984259624605,16,1.0,186
231,1.4559355496631294,0.1162347809252246,0.07845818119572717,16,1.0,187
241,1.4247876981161032,0.11378506079874122,0.07675281879094065,16,1.0,188
251,1.4014207789881403,0.11200079449402228,0.07521419749268776,16,1.0,189
261,1.3763936438995066,0.10991033355460657,0.07372700810621444,16,1.0,190
271,1.34603489329092,0.10744030859604055,0.07225339099536002,16,1.0,191
281,1.316529562838437,0.10509620749254674,0.07087902406818454,16,1.0,191
291,1.2896954747486389,0.10298287512738263,0.06957989027140937,16,1.0,192
301,1.2641722393594255,0.1009527609029146,0.06833621962262316,16,1.0,193
311,1.2463112549805246,0.09955770790406396,0.06722430120091313,16,1.0,193
321,1.227356809331674,0.09802359207215716,0.06613149504513482,16,1.0,194
331,1.2057467196244829,0.09627264286102297,0.06505050512951822,16,1.0,195
341,1.1871483258773088,0.09480850055079615,0.06403618179903584,16,1.0,195
351,1.1703131993893412,0.0934334787138294,0.06307955890020935,16,1.0,196
361,1.1525928086594353,0.0920248148670416,0.062161194057811855,16,1.0,196
371,1.133753050010967,0.09059736542602345,0.06125661515911458,16,1.0,197
381,1.1196224769499608,0.08945855935059771,0.060427691485962984,16,1.0,197
391,1.1052135407474415,0.08834583805157374,0.059634617946077335,16,1.0,198
401,1.0904454234398975,0.08715029263498092,0.05886396871790739,16,1.0,198
411,1.0773765384183338,0.08602603570123513,0.05811569195784125,16,1.0,199
421,1.062089540911892,0.08489383637252974,0.05738162764662163,16,1.0,199
431,1.0489115877535993,0.0838122632343637,0.056678898641514396,16,1.0,200
441,1.0372068923193891,0.08285029231126316,0.05600859054168844,16,1.0,200
451,1.0246128135659902,0.08187084163593748,0.055357740562000386,16,1.0,201
461,1.013844081000154,0.08103513077507989,0.054750736349999996,16,1.0,201
471,1.0029852158886503,0.08016009563899504,0.05415215000922919,16,1.0,202
481,0.9924310088704971,0.07932255707734022,0.05355080690866152,16,1.0,202
491,0.9823209533767674,0.07852012128697711,0.05297814621065724,16,1.0,202
501,0.9720313742596888,0.07767139262409894,0.05242035199329554,16,1.0,203
511,0.9616413268615163,0.07685851067343116,0.05186890612230656,16,1.0,203
521,0.9519641547932395,0.07607549750803537,0.0513445982888001,16,1.0,204
531,0.9416424161054645,0.07525966695059089,0.05084914507585472,16,1.0,204
541,0.9317948358365963,0.07447419015385702,0.050353116776492374,16,1.0,204
551,0.9228954323559585,0.07375421443532834,0.04988068594785356,16,1.0,205
561,0.9146673371736493,0.07310464942128544,0.049421742409252026,16,1.0,205
571,0.90706438488604,0.0725013756441069,0.048975746250299976,16,1.0,205
581,0.9001237711436535,0.07193832270858924,0.048545832914694276,16,1.0,206
591,0.8920566912065904,0.07131006000268346,0.04811115124435469,16,1.0,206
601,0.8855418818249581,0.07076649481868498,0.0477064137979131,16,1.0,206
611,0.8772990830703719,0.07010069882852753,0.047296955144662964,16,1.0,207
621,0.8703773366770624,0.06956297872268552,0.04690392748507723,16,1.0,207
631,0.8632482960148468,0.06900799711966753,0.04652248436733022,16,1.0,207
641,0.8556342552004192,0.0684082536535403,0.04613690968846961,16,1.0,208
651,0.8494911275571788,0.06788665389722158,0.04576733154486326,16,1.0,208
661,0.8432622074071974,0.06738240774153394,0.04540820361718914,16,1.0,208
671,0.8356895198273466,0.06683295958341627,0.04506136580748329,16,1.0,209
681,0.8301329858067702,0.06636717776589432,0.04472436408443388,16,1.0,209
691,0.8241291857365681,0.06589964476599637,0.04439700303051733,16,1.0,209
701,0.8192433273872421,0.06547232951179013,0.04407984555012556,16,1.0,209
711,0.8129152679980151,0.06500608330417706,0.043756014035608415,16,1.0,210
721,0.8073188665016023,0.06452359880173963,0.043442363489038745,16,1.0,210
731,0.8013274307978121,0.06402415732205957,0.04313263886262022,16,1.0,210
741,0.7953149585025446,0.063549283610848,0.04283303307293495,16,1.0,211
751,0.7891840457201177,0.06310381846241052,0.042537148537638084,16,1.0,211
761,0.7841067393485118,0.062668014138274,0.04224396339160586,16,1.0,211
771,0.7787595342743356,0.06226519768666596,0.041962969834519984,16,1.0,211
781,0.7737673227336536,0.06185106016207081,0.04167808328562845,16,1.0,212
791,0.7683049399920908,0.06142273983994602,0.0414068848891662,16,1.0,212
801,0.7633561992970335,0.061031383885935396,0.0411368826358954,16,1.0,212
811,0.7587110748035589,0.06066229664077148,0.04088179649932615,16,1.0,212
821,0.7541312009921742,0.06030191232291076,0.040629306254480524,16,1.0,213
831,0.7495273735154325,0.059930647989970255,0.04037365194205277,16,1.0,213
841,0.745613686775531,0.05962668070700758,0.04013923318783397,16,1.0,213
851,0.741593762747353,0.05930546378291238,0.03989558501884165,16,1.0,213
861,0.737307741660656,0.05894468786725023,0.03965531869869607,16,1.0,214
871,0.7331803333499947,0.05863152984246688,0.039422756285375005,16,1.0,214
881,0.729124587248727,0.058301041098700844,0.039194645909403004,16,1.0,214
891,0.7246449573801944,0.05794007476847864,0.038959183297881866,16,1.0,214
901,0.7205409456466388,0.05762004682039009,0.038743279574100495,16,1.0,214
911,0.7165280383497962,0.05727813963513945,0.03852988025151272,16,1.0,215
921,0.7125657371660576,0.056985816463829435,0.038318020179470606,16,1.0,215
931,0.7085427281632999,0.05664523794165622,0.03809892487086008,16,1.0,215
941,0.7047888428079484,0.056351329577428326,0.03788875680610201,16,1.0,215
951,0.70154151268162,0.056083467508987815,0.03768822021809157,16,1.0,215
961,0.6976744738771922,0.05577758404918683,0.037485536810048514,16,1.0,216
971,0.6940629064447946,0.05548374654887006,0.037286913332267704,16,1.0,216
981,0.6901029935960992,0.05518524855205394,0.03709143427553277,16,1.0,216
991,0.686895545470847,0.054913010260071615,0.03689696136922029,16,1.0,216
1001,0.6824075317973045,0.05457954236028756,0.03670119161551814,16,1.0,216
1011,0.6791173165910948,0.054311378819427526,0.03651826164858481,16,1.0,217
1021,0.6757654673173144,0.054037180652118294,0.03633492364851706,16,1.0,217
1031,0.6726834356463399,0.05377475371199374,0.036155683464356665,16,1.0,217
1041,0.6693067128335555,0.053515056264572,0.03597838699275012,16,1.0,217
1051,0.6661339477469709,0.05325804383805463,0.0357996315136486,16,1.0,217
1061,0.6635007788348609,0.053059737709206536,0.035633818092253494,16,1.0,218
1071,0.6605310472710351,0.052807133853273944,0.035463697473805546,16,1.0,218
